| Input filename | # Edges | # Graphs | # OK | # NONEMBEDDABLE |Error flag| Duration | # Invalid OK | EDA Proc Time | EDA Total Time |
|================|=========|==========|======|=================|==========|==========|==============|===============|================|
|n8.m0.g6        |0        |1         |1     |0                |SUCCESS   |0.0       |0             |0.000          |0.021           |
|n8.m1.g6        |1        |1         |1     |0                |SUCCESS   |0.0       |0             |0.000          |0.020           |
|n8.m2.g6        |2        |2         |2     |0                |SUCCESS   |0.0       |0             |0.016          |0.039           |
|n8.m3.g6        |3        |5         |5     |0                |SUCCESS   |0.0       |0             |0.047          |0.100           |
|n8.m4.g6        |4        |11        |11    |0                |SUCCESS   |0.016     |0             |0.047          |0.223           |
|n8.m5.g6        |5        |24        |24    |0                |SUCCESS   |0.0       |0             |0.125          |0.484           |
|n8.m6.g6        |6        |56        |56    |0                |SUCCESS   |0.0       |0             |0.219          |1.116           |
|n8.m7.g6        |7        |115       |115   |0                |SUCCESS   |0.0       |0             |0.516          |2.388           |
|n8.m8.g6        |8        |221       |221   |0                |SUCCESS   |0.015     |0             |1.188          |4.601           |
|n8.m9.g6        |9        |402       |401   |1                |SUCCESS   |0.0       |0             |1.938          |8.423           |
|n8.m10.g6       |10       |663       |659   |4                |SUCCESS   |0.031     |0             |3.781          |14.562          |
|n8.m11.g6       |11       |980       |959   |21               |SUCCESS   |0.0       |0             |5.406          |20.674          |
|n8.m12.g6       |12       |1312      |1230  |82               |SUCCESS   |0.032     |0             |6.750          |28.116          |
|n8.m13.g6       |13       |1557      |1310  |247              |SUCCESS   |0.015     |0             |9.109          |35.457          |
|n8.m14.g6       |14       |1646      |1109  |537              |SUCCESS   |0.032     |0             |10.047         |39.394          |
|n8.m15.g6       |15       |1557      |689   |868              |SUCCESS   |0.015     |0             |8.875          |34.850          |
|n8.m16.g6       |16       |1312      |307   |1005             |SUCCESS   |0.031     |0             |7.125          |25.652          |
|n8.m17.g6       |17       |980       |82    |898              |SUCCESS   |0.0       |0             |4.422          |16.156          |
|n8.m18.g6       |18       |663       |17    |646              |SUCCESS   |0.016     |0             |2.438          |10.103          |
|n8.m19.g6       |19       |402       |1     |401              |SUCCESS   |0.0       |0             |1.516          |5.922           |
|n8.m20.g6       |20       |221       |0     |221              |SUCCESS   |0.016     |0             |0.797          |3.134           |
|n8.m21.g6       |21       |115       |0     |115              |SUCCESS   |0.0       |0             |0.484          |1.608           |
|n8.m22.g6       |22       |56        |0     |56               |SUCCESS   |0.0       |0             |0.172          |0.787           |
|n8.m23.g6       |23       |24        |0     |24               |SUCCESS   |0.0       |0             |0.109          |0.335           |
|n8.m24.g6       |24       |11        |0     |11               |SUCCESS   |0.0       |0             |0.062          |0.217           |
|n8.m25.g6       |25       |5         |0     |5                |SUCCESS   |0.0       |0             |0.047          |0.073           |
|n8.m26.g6       |26       |2         |0     |2                |SUCCESS   |0.0       |0             |0.016          |0.029           |
|n8.m27.g6       |27       |1         |0     |1                |SUCCESS   |0.0       |0             |0.016          |0.014           |
|n8.m28.g6       |28       |1         |0     |1                |SUCCESS   |0.0       |0             |0.016          |0.014           |
|================|=========|==========|======|=================|==========|==========|==============|===============|================|
|TOTALS                    |12346     |7200  |5146             |29        |0.219     |0             |65.281         |254.515         |
